SerialNumber,LogDate,IsFromSync,DeviceID,TroubleFlags,Uptime,BatteryLevel,Temperature,FaultCounterEEAccessPhysical,FaultCounterEEAccessLogical,FaultCounterEEAccessIntegrity,ComparatorProtectCounter,PowerUpCounter,PowerUpReason,PrimaryVoltageState,SecondaryVoltageState,VoltagePrimary_100mV,RowVersion
3000201,22/06/2025 13:28:36,0,AD53794B-2D5A-4D3D-B570-261C8FEFCB53,0,950402,57,129,0,1,0,0,1,9,0,0,0,0x0000000EDF6EED02
3000203,22/06/2025 13:29:31,0,ADD4B76E-022E-4F1C-8F19-AFF28D52540D,0,950402,58,130,0,1,0,0,1,9,0,0,0,0x0000000EDF6F4077
3000209,22/06/2025 13:29:56,0,30FFD2BF-BD44-48EC-B154-AF2F1B6E2787,0,950402,58,130,0,1,0,0,1,9,0,0,0,0x0000000EDF6F63BC
3000204,22/06/2025 13:30:26,0,D3BE5827-5748-4D53-AA15-519239161FB9,0,950402,57,128,0,1,0,0,1,9,0,0,0,0x0000000EDF6F94AA
3000340,22/06/2025 14:40:50,0,68E4540F-BB20-45B2-A010-1B3D825CA8EB,0,633610,56,193,0,0,0,0,2,3,0,0,0,0x0000000EDF896C74
3000388,22/06/2025 14:44:09,0,6F8C3544-06DD-4647-B168-DB9493E55549,0,633610,54,152,0,0,0,0,2,3,0,0,0,0x0000000EDF8AAF9E
3000384,22/06/2025 14:46:18,0,3C85CF87-A7CA-4295-8121-6F1B15B6E6F1,0,633610,57,195,0,0,0,0,2,3,0,0,0,0x0000000EDF8B755A
3000345,22/06/2025 14:46:53,0,6A7A35C7-C85E-4DA7-A4BD-7060F32C2F82,0,633619,57,142,0,0,0,0,2,3,0,0,0,0x0000000EDF8BB56A
3000389,22/06/2025 14:48:37,0,E572566C-C836-488D-B3B1-E4F721684AC1,0,633609,57,155,0,0,0,0,2,3,0,0,0,0x0000000EDF8C5A5B
3000351,22/06/2025 14:49:44,0,D73228B9-773E-42C2-90F2-A3711B850C90,0,633610,58,149,0,0,0,0,2,3,0,0,0,0x0000000EDF8CC98D
3000362,22/06/2025 14:51:42,0,9B6E33E7-9613-4C44-8F95-6D885B920427,0,633619,58,150,0,0,0,0,2,3,0,0,0,0x0000000EDF8D82F6
3000341,22/06/2025 14:51:44,0,AD73A3FD-4AF2-463D-B2E6-78B4E040C999,0,633610,58,162,0,0,0,0,2,3,0,0,0,0x0000000EDF8D8879
3000350,22/06/2025 14:54:25,0,F6DA68DD-5893-45BA-96F9-5FFF985030A7,0,633609,58,174,0,0,0,0,2,3,0,0,0,0x0000000EDF8E8B3E
3000201,22/06/2025 21:28:36,0,AD53794B-2D5A-4D3D-B570-261C8FEFCB53,0,979202,58,128,0,1,0,0,1,9,0,0,0,0x0000000EE0369215
3000203,22/06/2025 21:29:31,0,ADD4B76E-022E-4F1C-8F19-AFF28D52540D,0,979202,58,129,0,1,0,0,1,9,0,0,0,0x0000000EE036FCE7
3000209,22/06/2025 21:29:55,0,30FFD2BF-BD44-48EC-B154-AF2F1B6E2787,0,979202,58,129,0,1,0,0,1,9,0,0,0,0x0000000EE03726FC
